label,statement,cleaned_statement,label_encoded,binary_label
barely-true,"In September, the Department of Business and Consumer Services enacted a sudden 39% workers compensation premium assessment by rule with little notice to the public.",in september the department of business and consumer services enacted a sudden  workers compensation premium assessment by rule with little notice to the public,0,0
mostly-true,"Giving the facts: 73,000 jobs created ... since 11. Do you know how many direct jobs in the auto industry? 1,800.",giving the facts  jobs created  since  do you know how many direct jobs in the auto industry,3,1
barely-true,Says Hillary Clinton and Ralph Northam label police as racists.,says hillary clinton and ralph northam label police as racists,0,0
true,Most Texans aren't millionaires.,most texans arent millionaires,5,1
mostly-true,The town of Cumberland has its highest bond rating in history.,the town of cumberland has its highest bond rating in history,3,1
half-true,"Since February 2009, our economy has lost roughly 3 million private sector jobs while the federal government has grown by more than 400,000 jobs.",since february  our economy has lost roughly  million private sector jobs while the federal government has grown by more than  jobs,2,1
mostly-true,I've seen (life) from the factory floor when I was working the graveyard shift ...and I'd be ankle-deep in water at the Murray Ohio bicycle plant where I was running a machine that was so loud I couldn't hear myself yell if I wanted to.,ive seen life from the factory floor when i was working the graveyard shift and id be ankledeep in water at the murray ohio bicycle plant where i was running a machine that was so loud i couldnt hear myself yell if i wanted to,3,1
barely-true,Says Dwight Holton has never set foot in an Oregon courtroom.,says dwight holton has never set foot in an oregon courtroom,0,0
half-true,State Medicaid expansion will save our treasury $1 billion over the next eight years.,state medicaid expansion will save our treasury  billion over the next eight years,2,1
pants-fire,"The U.S. unemployment rate has been massaged, its been doctored.",the us unemployment rate has been massaged its been doctored,4,0
true,"If you printed a $1 bill for the entirety of the $14.1 trillion national debt, the resulting pile of money would weigh more than 136 aircraft carriers.",if you printed a  bill for the entirety of the  trillion national debt the resulting pile of money would weigh more than  aircraft carriers,5,1
mostly-true,Eighty out of 82 counties in Ohio ... have an auto manufacturing facility.,eighty out of  counties in ohio  have an auto manufacturing facility,3,1
false,"Under Scott Walker, the Wisconsin middle class is shrinking at a faster rate than any other state in the country.",under scott walker the wisconsin middle class is shrinking at a faster rate than any other state in the country,1,0
half-true,"What we have done with the PATRIOT Act, weve given the government enormous powers. Weve given the government the right to reach deeply into peoples private lives, into their business affairs, without a court order.",what we have done with the patriot act weve given the government enormous powers weve given the government the right to reach deeply into peoples private lives into their business affairs without a court order,2,1
mostly-true,"One in five women in the military are receiving unwanted sexual contact, as are 3.3 percent of men.",one in five women in the military are receiving unwanted sexual contact as are  percent of men,3,1
true,Virginia spends less per student today than we did in 2008.,virginia spends less per student today than we did in,5,1
false,The economic impact of Atlantas 2000 Super Bowl was $292 million.,the economic impact of atlantas  super bowl was  million,1,0
half-true,Do you know those former Soviet Bloc countries have all moved to flat taxes?,do you know those former soviet bloc countries have all moved to flat taxes,2,1
true,"More people hunt and fish in Texas in a given year than attend the... games of the Dallas Cowboys, the Dallas Mavericks, the Houston Texans and the Houston Rockets combined.",more people hunt and fish in texas in a given year than attend the games of the dallas cowboys the dallas mavericks the houston texans and the houston rockets combined,5,1
half-true,Georgia legislation on immigration is a copycat of an Arizona immigration bill.,georgia legislation on immigration is a copycat of an arizona immigration bill,2,1
barely-true,A New York imam wants tohave a mosque at Ground Zero.,a new york imam wants tohave a mosque at ground zero,0,0
false,One of the other inaccuracies ...is that we have raised taxes multiple times and run up the budget. Absolutely not true. One tax increase since Ive been in office. It was a quarter mill tax in the unincorporated area only.,one of the other inaccuracies is that we have raised taxes multiple times and run up the budget absolutely not true one tax increase since ive been in office it was a quarter mill tax in the unincorporated area only,1,0
barely-true,Some billionaires have a tax rate as low as 1 percent.,some billionaires have a tax rate as low as  percent,0,0
false,"The profit [from automated traffic enforcement cameras] is going to the private corporations, not to the city or state.",the profit from automated traffic enforcement cameras is going to the private corporations not to the city or state,1,0
mostly-true,Our unemployment rate is now lower than it was before the financial crisis.,our unemployment rate is now lower than it was before the financial crisis,3,1
barely-true,"It is estimated that every $100 million spent on construction generates 3,000 new jobs.",it is estimated that every  million spent on construction generates  new jobs,0,0
mostly-true,We have the highest corporate income tax in the world right now.,we have the highest corporate income tax in the world right now,3,1
mostly-true,"I used tax cuts to help create over 80,000 jobs in New Mexico.",i used tax cuts to help create over  jobs in new mexico,3,1
barely-true,Says Scott Walker tried to pass a law to allow pharmacists to block womens access to birth control.,says scott walker tried to pass a law to allow pharmacists to block womens access to birth control,0,0
mostly-true,The only time over the last 25 years when the states unemployment rate exceeded the U.S. average was when (Mary) Burke was commerce secretary.,the only time over the last  years when the states unemployment rate exceeded the us average was when mary burke was commerce secretary,3,1
false,Were broke. We dont have any more money.,were broke we dont have any more money,1,0
true,"Again today (Ahmadinejad) made light of 9/11, and said that he's not even sure it happened and that people actually died.",again today ahmadinejad made light of  and said that hes not even sure it happened and that people actually died,5,1
barely-true,Says direct shipment of wine makes underage drinking as simple as a mouse click.,says direct shipment of wine makes underage drinking as simple as a mouse click,0,0
barely-true,"Under Barack Obama the last two years, the number of federal limousines for bureaucrats has increased 73 percent.",under barack obama the last two years the number of federal limousines for bureaucrats has increased  percent,0,0
barely-true,"Obama has been sending taxpayer dollars, at least $350,000 to fund anti-Likud, anti-Netanyahu groups in Israelfor (the) election.",obama has been sending taxpayer dollars at least  to fund antilikud antinetanyahu groups in israelfor the election,0,0
false,When I was U.S. Attorney we wound up putting 10 percent of the state Legislature in jail during my seven years.,when i was us attorney we wound up putting  percent of the state legislature in jail during my seven years,1,0
mostly-true,Sixty percent of Americans now support legalizing marijuana.,sixty percent of americans now support legalizing marijuana,3,1
true,"Since being elected in 2002, Scott Walker has given back over $370,000 of his salary to the county.",since being elected in  scott walker has given back over  of his salary to the county,5,1
mostly-true,"Florida ""has the second-highest foreclosure rate in the nation.""",florida has the secondhighest foreclosure rate in the nation,3,1
true,"The religious liberty bill proposed in the Georgia House of Representatives does not specifically exclude corporations, which means they can legally claim a religious exemption.",the religious liberty bill proposed in the georgia house of representatives does not specifically exclude corporations which means they can legally claim a religious exemption,5,1
mostly-true,"Says Saudi Arabia, a U.S. ally, has paid to export throughout the world Wahhabism -- an extreme form of Islam that basically teaches Americans are the devil.",says saudi arabia a us ally has paid to export throughout the world wahhabism  an extreme form of islam that basically teaches americans are the devil,3,1
mostly-true,Bill Clinton presided over the biggest expansion of the American economy since World War II.,bill clinton presided over the biggest expansion of the american economy since world war ii,3,1
barely-true,"When they passed Obamacare, they put a bailout fund in Obamacare. We led the effort and wiped out that bailout fund.",when they passed obamacare they put a bailout fund in obamacare we led the effort and wiped out that bailout fund,0,0
false,David Dewhurst has never once cut one penny from the state budget.,david dewhurst has never once cut one penny from the state budget,1,0
pants-fire,Wisconsin Gov. Scott Walkers move to limit collective bargaining rights has led to riots at the Capitol -- Its like Cairo has moved to Madison these days.,wisconsin gov scott walkers move to limit collective bargaining rights has led to riots at the capitol  its like cairo has moved to madison these days,4,0
mostly-true,An amendment inserted by lawmakers into the state budget exempts scientific researchers from all state animal cruelty laws.,an amendment inserted by lawmakers into the state budget exempts scientific researchers from all state animal cruelty laws,3,1
half-true,Its illegal for a state to say were simply going to cut off (union contract) negotiations. Theres a legal requirement that you are involved in good faith bargaining.,its illegal for a state to say were simply going to cut off union contract negotiations theres a legal requirement that you are involved in good faith bargaining,2,1
true,In Rhode Island there are 150 different pension plans for public workers.,in rhode island there are  different pension plans for public workers,5,1
mostly-true,Dave Brat worked on Democrat Gov. Tim Kaines Council of Economic Advisors while Kaine tried to raise our taxes by over $1 billion.,dave brat worked on democrat gov tim kaines council of economic advisors while kaine tried to raise our taxes by over  billion,3,1
half-true,"Women still do not get paid as much as men, even for the same work, period.",women still do not get paid as much as men even for the same work period,2,1
mostly-true,"Says Hillary Clinton and millennials have the same positions on climate change, abortion rights, immigration reform, gay rights and college affordability. Donald Trump doesnt.",says hillary clinton and millennials have the same positions on climate change abortion rights immigration reform gay rights and college affordability donald trump doesnt,3,1
half-true,Says Donald Trump has a long history of exporting jobs overseas.,says donald trump has a long history of exporting jobs overseas,2,1
half-true,"Scott Walker to cut $300 million from universities, spend $500 million on a pro basketball stadium.",scott walker to cut  million from universities spend  million on a pro basketball stadium,2,1
false,A defense bill includes language that would require military hospitals to provide abortions on demand.,a defense bill includes language that would require military hospitals to provide abortions on demand,1,0
false,Says Gov. Scott Walkers repeal of a 2009 law has left Wisconsin as one of five states without an equal pay law protecting women from gender discrimination in their paycheck.,says gov scott walkers repeal of a  law has left wisconsin as one of five states without an equal pay law protecting women from gender discrimination in their paycheck,1,0
true,Says New Jerseys prison system is 61 percent African-American even though our state is just 13 percent black.,says new jerseys prison system is  percent africanamerican even though our state is just  percent black,5,1
half-true,We are the only major country on Earth that doesnt guarantee health care to all people as a right.,we are the only major country on earth that doesnt guarantee health care to all people as a right,2,1
true,"Do you know that, statistically, when you take the SAT a second time, one third of the people that take the SAT, even if theyve been studying, will get a lower score than they did the first time around?",do you know that statistically when you take the sat a second time one third of the people that take the sat even if theyve been studying will get a lower score than they did the first time around,5,1
barely-true,"On HealthCare.Gov, Texan Mark Sullivan found a good health insurance plan that includes dental, for less than $80 a month.",on healthcaregov texan mark sullivan found a good health insurance plan that includes dental for less than  a month,0,0
true,"Sen. Obama has declared, and repeatedly reaffirmed his intention to meet the president of Iran without any preconditions.",sen obama has declared and repeatedly reaffirmed his intention to meet the president of iran without any preconditions,5,1
mostly-true,We see a quarter-billion dollars in a pension fund that needs to be funded at $1.2 billion.,we see a quarterbillion dollars in a pension fund that needs to be funded at  billion,3,1
true,I'm proud to have had a 100 percent pro-life voting record.,im proud to have had a  percent prolife voting record,5,1
mostly-true,Americans are 20 times as likely to die from gun violence as citizens of other civilized countries.,americans are  times as likely to die from gun violence as citizens of other civilized countries,3,1
pants-fire,Says a Canadian provincial prime minister came to Ohio for his medical treatment because of the delay in Canadian health care which would have endangered his life.,says a canadian provincial prime minister came to ohio for his medical treatment because of the delay in canadian health care which would have endangered his life,4,0
true,There is more oil produced at home than we buy from the rest of the world the first time thats happened in nearly 20 years.,there is more oil produced at home than we buy from the rest of the world the first time thats happened in nearly  years,5,1
true,To vote in Mexico every eligible Mexican citizen has to have a tamper-proof photo-ID card with a thumbprint and an embossed hologram.,to vote in mexico every eligible mexican citizen has to have a tamperproof photoid card with a thumbprint and an embossed hologram,5,1
false,Theres a mosque inside of the Pentagon.,theres a mosque inside of the pentagon,1,0
barely-true,"I would love to see us have in this country what I helped lead in Arkansas...Amendment 65 (which) says that we believe life begins at conception, and that we ought to do everything in the world possible to protect it until its natural conclusion.",i would love to see us have in this country what i helped lead in arkansasamendment  which says that we believe life begins at conception and that we ought to do everything in the world possible to protect it until its natural conclusion,0,0
false,"If we went back to the obesity rates that existed back in the 1980s, the Medicare system over several years could save as much as a trillion dollars.",if we went back to the obesity rates that existed back in the s the medicare system over several years could save as much as a trillion dollars,1,0
half-true,"Domestic violence is seen as a pre-existing health condition and women had to pay 50 percent more for health care because of gender ratings, but under Obamacare, all of that is over.",domestic violence is seen as a preexisting health condition and women had to pay  percent more for health care because of gender ratings but under obamacare all of that is over,2,1
false,Says Austin is the largest city in the U.S. without nonstop flights to Europe.,says austin is the largest city in the us without nonstop flights to europe,1,0
half-true,On Common Core education standards,on common core education standards,2,1
mostly-true,We are the only industrialized nation that relies heavily on a for-profit medical insurance industry to provide basic health care.,we are the only industrialized nation that relies heavily on a forprofit medical insurance industry to provide basic health care,3,1
false,"Says (t)his 12 year council Seat-warmer has never chaired, vice chaired, or led a single Council committee meeting.",says this  year council seatwarmer has never chaired vice chaired or led a single council committee meeting,1,0
half-true,On running for the U.S. Senate as an independent.,on running for the us senate as an independent,2,1
true,"Since 1900, six (U.S. Supreme Court) justices have been confirmed during election years, including Justice Anthony Kennedy, who was confirmed in the final year of the Reagan Administration.",since  six us supreme court justices have been confirmed during election years including justice anthony kennedy who was confirmed in the final year of the reagan administration,5,1
pants-fire,Candidate for governor Roy Barnes has been fighting hard to let illegal immigrants vote.,candidate for governor roy barnes has been fighting hard to let illegal immigrants vote,4,0
barely-true,"Workers in the United States are making less than they were almost 20 years ago, and yet they are working harder.",workers in the united states are making less than they were almost  years ago and yet they are working harder,0,0
mostly-true,Rick Perry accepted more stimulus funds than any other governor except the governors of California and New York.,rick perry accepted more stimulus funds than any other governor except the governors of california and new york,3,1
mostly-true,90 percent of all pain medications are prescribed in the United States.,percent of all pain medications are prescribed in the united states,3,1
mostly-true,"Our state economic development agency under Walker, WEDC, actually isnt even using the funds that are appropriated to it.",our state economic development agency under walker wedc actually isnt even using the funds that are appropriated to it,3,1
half-true,Says the Beaumont school districts superintendent is the highest-paid in the state.,says the beaumont school districts superintendent is the highestpaid in the state,2,1
mostly-true,"A violent felon can buy (a gun) over the Internet with no background check, no questions asked.",a violent felon can buy a gun over the internet with no background check no questions asked,3,1
false,Says Mexico can afford to build a wall because the countrys trade deficit with America is billions of dollars.,says mexico can afford to build a wall because the countrys trade deficit with america is billions of dollars,1,0
half-true,"The United States accounted for 26 percent of worldwide military spending during the Cold War, but now accounts for 41 percent.",the united states accounted for  percent of worldwide military spending during the cold war but now accounts for  percent,2,1
true,"Mathematically, the White Sox can still get in the playoffs.",mathematically the white sox can still get in the playoffs,5,1
half-true,Congress secured special Obamacare rules to prevent their healthcare costs from rising.,congress secured special obamacare rules to prevent their healthcare costs from rising,2,1
half-true,"Since Rick Perry became governor, poverty rates in Texas increased from 15.1% to 17.5% which is higher than the national average.",since rick perry became governor poverty rates in texas increased from  to  which is higher than the national average,2,1
half-true,"Since the time of the Civil War, weve made a distinction in this country between the availability and the ability to access for people who were in the military, versus the rest of us, to vote.",since the time of the civil war weve made a distinction in this country between the availability and the ability to access for people who were in the military versus the rest of us to vote,2,1
false,Says his campaign has released his past tax returns.,says his campaign has released his past tax returns,1,0
barely-true,"As a result of Chris Sununus vote against a Planned Parenthood contract, nearly 3,000 fewer women and families statewide accessed health care for birth control, cancer screenings and annual exams.",as a result of chris sununus vote against a planned parenthood contract nearly  fewer women and families statewide accessed health care for birth control cancer screenings and annual exams,0,0
mostly-true,Says a majority of Americans -- and Republicans -- support his approach for deficit reduction.,says a majority of americans  and republicans  support his approach for deficit reduction,3,1
false,The media widely overlooked comments made by former President Bill Clinton that Hillary Clinton had a terrible concussion that took six months to recover from.,the media widely overlooked comments made by former president bill clinton that hillary clinton had a terrible concussion that took six months to recover from,1,0
false,Says she voted against the Medicare Part D prescription drug program because it was unfunded.,says she voted against the medicare part d prescription drug program because it was unfunded,1,0
false,"I just talked about guns. I told you what my position was, and what I did as governor, the fact that I received the endorsement of the NRA.",i just talked about guns i told you what my position was and what i did as governor the fact that i received the endorsement of the nra,1,0
barely-true,U.S. Sen. Bill Nelson was the deciding vote for the health care law.,us sen bill nelson was the deciding vote for the health care law,0,0
barely-true,"Says Morgan Carroll opposed requiring convicted sex offenders to register their online profiles, making it harder to track online sex offenders and child predators.",says morgan carroll opposed requiring convicted sex offenders to register their online profiles making it harder to track online sex offenders and child predators,0,0
barely-true,"Says Adam Hasner said he will never accept a pay increase, but he voted to raise his pay four times.",says adam hasner said he will never accept a pay increase but he voted to raise his pay four times,0,0
barely-true,One of the reasons that Social Security is in so much trouble is that the only funding stream comes from people who get a wage. The people who get wages is declining dramatically.,one of the reasons that social security is in so much trouble is that the only funding stream comes from people who get a wage the people who get wages is declining dramatically,0,0
false,"For the votes that we got, I think we spent, on average, two bucks a pop. Compared to 42 bucks for incumbent Milwaukee County Executive Chris Abele.",for the votes that we got i think we spent on average two bucks a pop compared to  bucks for incumbent milwaukee county executive chris abele,1,0
half-true,"More than two months ago President Barack Obama signed a bill for more than $1 billion in Zika funding, but the federal government has still only committed $7 million to help Florida.",more than two months ago president barack obama signed a bill for more than  billion in zika funding but the federal government has still only committed  million to help florida,2,1
mostly-true,"Unemployment for those with college educations is now 4.5 percent. Unemployment for those with more than a college education, below 4 percent.",unemployment for those with college educations is now  percent unemployment for those with more than a college education below  percent,3,1
mostly-true,In the latest jobs numbers Wisconsin ranked third in the Midwest.,in the latest jobs numbers wisconsin ranked third in the midwest,3,1
true,The first professional baseball team was from an Ohio city.,the first professional baseball team was from an ohio city,5,1
true,I'm for a three-state political solution in Iraq. (Romney) is not.,im for a threestate political solution in iraq romney is not,5,1
true,"Says that unlike Texas, Missouri has a perfect AAA credit rating.",says that unlike texas missouri has a perfect aaa credit rating,5,1
mostly-true,"The president can ""authorize the killing of a U.S. citizen who fights for a foreign terrorist organization.""",the president can authorize the killing of a us citizen who fights for a foreign terrorist organization,3,1
half-true,More whites than blacks are victims of deadly police shootings.,more whites than blacks are victims of deadly police shootings,2,1
barely-true,Some Republican leaders in Congress are pushing to make privatizing Social Security a key part of their legislative agenda if they win a majority in Congress this fall.,some republican leaders in congress are pushing to make privatizing social security a key part of their legislative agenda if they win a majority in congress this fall,0,0
half-true,40 percent of U.S. gun sales are occurring outside of licensed gun dealers.,percent of us gun sales are occurring outside of licensed gun dealers,2,1
false,"The 2011 Rebuild America Jobs Act would have cost the average American family $1,000 a year while making no significant impact to fix our infrastructure and roads.",the  rebuild america jobs act would have cost the average american family  a year while making no significant impact to fix our infrastructure and roads,1,0
half-true,Proposed tax changes are a handout to BP.,proposed tax changes are a handout to bp,2,1
mostly-true,"Medicare Part D was far more expensive than the Affordable Care Act and unlike the act, was never budgeted.",medicare part d was far more expensive than the affordable care act and unlike the act was never budgeted,3,1
mostly-true,Rhode Island spends less than 10 percent of what the average state spends promoting tourism.,rhode island spends less than  percent of what the average state spends promoting tourism,3,1
false,"More than 400 car crashes occur each year on the current, congested Columbia River Bridge.",more than  car crashes occur each year on the current congested columbia river bridge,1,0
pants-fire,Says President Ronald Reagan had a month of job creation of 1 million.,says president ronald reagan had a month of job creation of  million,4,0
barely-true,"Weve had examples like in Yuma County, where weve been able to stop 97 percent of the illegal (immigration) flow, and those programs, they abolish.",weve had examples like in yuma county where weve been able to stop  percent of the illegal immigration flow and those programs they abolish,0,0
half-true,For the cost of the Iraq War we couldve ended world hunger for 30 years.,for the cost of the iraq war we couldve ended world hunger for  years,2,1
mostly-true,"If you make the average amount of people in Wisconsin, $50,000, you got $1.60 less a week in taxes under the state income-tax cut, but it didnt show up in your paycheck.",if you make the average amount of people in wisconsin  you got  less a week in taxes under the state incometax cut but it didnt show up in your paycheck,3,1
barely-true,"Says its a statistical reality that most single moms are very poor, under-educated, cant get a job, and if it werent for government assistance, their kids would be starving to death.",says its a statistical reality that most single moms are very poor undereducated cant get a job and if it werent for government assistance their kids would be starving to death,0,0
mostly-true,"Bill Richardson passed the first law in the nation giving National Guard soldiers $400,000 in life insurance.",bill richardson passed the first law in the nation giving national guard soldiers  in life insurance,3,1
true,"Boston is just 60 minutes away and its offering subsidies to developers who can charge higher rent than you can get in Providence while construction costs are more or less equal. As a result, the Boston skyline is completely dominated by the cranes.",boston is just  minutes away and its offering subsidies to developers who can charge higher rent than you can get in providence while construction costs are more or less equal as a result the boston skyline is completely dominated by the cranes,5,1
false,"In the last couple of days, notices were sent (by officials in Ukraine) to Jews in one city indicating that they had to identify themselves as Jews.",in the last couple of days notices were sent by officials in ukraine to jews in one city indicating that they had to identify themselves as jews,1,0
mostly-true,We have the highest (corporate tax rates) in the world right now.,we have the highest corporate tax rates in the world right now,3,1
true,"The judicial system is the most underfunded in this state, able to only pay 52 percent of its obligations. Meanwhile, judges get some of the richest pensions of all public employees.",the judicial system is the most underfunded in this state able to only pay  percent of its obligations meanwhile judges get some of the richest pensions of all public employees,5,1
false,"You cant read a speech by George Washington . . . without hearing him reference God, the Almighty.",you cant read a speech by george washington    without hearing him reference god the almighty,1,0
barely-true,"Says Jeff Wentworth, bending the rules, has used $211,743.96 in campaign contributions to lease luxury cars.",says jeff wentworth bending the rules has used  in campaign contributions to lease luxury cars,0,0
false,"Says If Oregons Legislature simply authorizes $450 million for the CRC, it will leave Oregon holding the bag for a great deal more cost responsibility.",says if oregons legislature simply authorizes  million for the crc it will leave oregon holding the bag for a great deal more cost responsibility,1,0
mostly-true,We cut property taxes for seniors and our middle class.,we cut property taxes for seniors and our middle class,3,1
false,There were $2 billion in earmarks in fiscal year 2012.,there were  billion in earmarks in fiscal year,1,0
barely-true,Eight million Americans have dropped out of the work force since (Barack) Obama became president. ... The real unemployment rate is 19 percent.,eight million americans have dropped out of the work force since barack obama became president  the real unemployment rate is  percent,0,0
false,"Under David Dewhursts leadership, the Texas Senate passed an expansion of in-state tuition and free health care to illegal immigrants.",under david dewhursts leadership the texas senate passed an expansion of instate tuition and free health care to illegal immigrants,1,0
false,Photos prove the Denver light rail system has low ridership.,photos prove the denver light rail system has low ridership,1,0
true,Rhode Island already gets more revenue per capita from gambling than any other state in the country.,rhode island already gets more revenue per capita from gambling than any other state in the country,5,1
true,"Says a pack-a-day smoker who quits because of the tax increase will save about $1,650 a year.",says a packaday smoker who quits because of the tax increase will save about  a year,5,1
barely-true,Says U.S. Senate candidate Eric Hovde has no problem with raising taxes.,says us senate candidate eric hovde has no problem with raising taxes,0,0
pants-fire,"Rick Santorum says Rick Perry requested 1,200 earmarks as governor of Texas.",rick santorum says rick perry requested  earmarks as governor of texas,4,0
pants-fire,Nancy Pelosi wants a Windfall Tax on Retirement Income.,nancy pelosi wants a windfall tax on retirement income,4,0
barely-true,We get practically nothing compared to the cost of keeping U.S. military forces in South Korea.,we get practically nothing compared to the cost of keeping us military forces in south korea,0,0
half-true,"When we go to vote, they ask for drivers license and verify that you are a voter and a citizen in the state of Texas.",when we go to vote they ask for drivers license and verify that you are a voter and a citizen in the state of texas,2,1
half-true,"Before this law was passed, Americans were told they could keep their current health care plans. After it became law, the administration issued regulations stating nearly half of Americans would lose their current plan.",before this law was passed americans were told they could keep their current health care plans after it became law the administration issued regulations stating nearly half of americans would lose their current plan,2,1
false,U.S. Rep. Stephen Fincher is the only working farmer currently serving in the House.,us rep stephen fincher is the only working farmer currently serving in the house,1,0
half-true,"I built the last nuclear plant not only in the state, but in the country.",i built the last nuclear plant not only in the state but in the country,2,1
false,Milwaukee police and firefighters are routinely getting 4 percent raises annually while everybody else is either getting zero or one percent raises.,milwaukee police and firefighters are routinely getting  percent raises annually while everybody else is either getting zero or one percent raises,1,0
mostly-true,"When you have 8,000 veterans a year committing suicide, then you have a serious problem.",when you have  veterans a year committing suicide then you have a serious problem,3,1
false,"When Disney was looking to build Disney World, they came to Miami and we told Disney to take a hike.",when disney was looking to build disney world they came to miami and we told disney to take a hike,1,0
true,I dont understand what Republicans are doing against this. It was their idea. John McCain introduced cap and trade legislation three times.,i dont understand what republicans are doing against this it was their idea john mccain introduced cap and trade legislation three times,5,1
false,Gov. Scott Walkers plan to freeze pay for state employees includes a 5.4 percent raise for himself.,gov scott walkers plan to freeze pay for state employees includes a  percent raise for himself,1,0
false,"As district attorney, Susan Happ took $180,000 in a shady land deal from a man charged with multiple felony counts of sexual assault before she offered him a deferred prosecution.",as district attorney susan happ took  in a shady land deal from a man charged with multiple felony counts of sexual assault before she offered him a deferred prosecution,1,0
false,"In Wisconsin, 300,000 voters were turned away by the states strict voter ID law in the 2016 presidential election.",in wisconsin  voters were turned away by the states strict voter id law in the  presidential election,1,0
true,"Dan Patrick was the only state senator who voted against the Veteran Entrepreneurship Program, a program that assists veterans in successfully starting up their own businesses.",dan patrick was the only state senator who voted against the veteran entrepreneurship program a program that assists veterans in successfully starting up their own businesses,5,1
mostly-true,Tourism and retirees are the dominant economic engines in our state.,tourism and retirees are the dominant economic engines in our state,3,1
half-true,Fewer Democrats were on the Georgia general election ballot in 2012 than in more than 100 years.,fewer democrats were on the georgia general election ballot in  than in more than  years,2,1
half-true,There is not one single federal housing program yet that has not needed a bailout to survive.,there is not one single federal housing program yet that has not needed a bailout to survive,2,1
pants-fire,Sheriffs Call For Obamas Lynching While Leader Meets With GOP Senators,sheriffs call for obamas lynching while leader meets with gop senators,4,0
false,Proposed immigration legislation would give new immigrants a taxpayer-funded cellular phone.,proposed immigration legislation would give new immigrants a taxpayerfunded cellular phone,1,0
barely-true,"Youre paying for...(state Sen. Diane Allens) health care, and she took yours away.",youre paying forstate sen diane allens health care and she took yours away,0,0
false,Illegal immigrants mow the grass around the (Texas) Capitol.,illegal immigrants mow the grass around the texas capitol,1,0
true,"Once our Blueprint for Prosperity is signed into law, we will have delivered $2 billion in tax relief.",once our blueprint for prosperity is signed into law we will have delivered  billion in tax relief,5,1
false,"Under Obama, the national debt has been reduced every year for the last five years.",under obama the national debt has been reduced every year for the last five years,1,0
true,"Since 1961 our private economy has produced 66 million private-sector jobs. So whats the jobs score? Republicans 24 million, Democrats 42 (million).",since  our private economy has produced  million privatesector jobs so whats the jobs score republicans  million democrats  million,5,1
true,"The law, right now, permits companies that close down American factories and offices and move those jobs overseas to take a tax deduction for the costs associated with moving the jobs to China or India or wherever.",the law right now permits companies that close down american factories and offices and move those jobs overseas to take a tax deduction for the costs associated with moving the jobs to china or india or wherever,5,1
barely-true,"A DWI costs $17,000.",a dwi costs,0,0
barely-true,"In 2010, Clinton said Iran could enrich uranium. In 2014 she said shes always argued against it.",in  clinton said iran could enrich uranium in  she said shes always argued against it,0,0
barely-true,Says Rep. Ken Legler voted against installing fire sprinklers and emergency power generators in nursing homes.,says rep ken legler voted against installing fire sprinklers and emergency power generators in nursing homes,0,0
half-true,"Last month, more Americans stopped looking for a job than found one.",last month more americans stopped looking for a job than found one,2,1
true,"We have 10,000 baby boomers retiring every day.",we have  baby boomers retiring every day,5,1
false,The Wisconsin Legislature raised taxes more than $5 billion in 2009.,the wisconsin legislature raised taxes more than  billion in,1,0
mostly-true,Fifty percent of kids coming out of school cant get a job.,fifty percent of kids coming out of school cant get a job,3,1
barely-true,"In a few months, this deal would give Iran $150 billion for its $300 billion to $400 billion economy, which is like $8 trillion flowing into the United States treasury.",in a few months this deal would give iran  billion for its  billion to  billion economy which is like  trillion flowing into the united states treasury,0,0
true,Americans spend more than $160 billion and 6 billion hours per year complying with the tax code.,americans spend more than  billion and  billion hours per year complying with the tax code,5,1
barely-true,The tax policies of George W. Bush created a dynamic effect of high growth.,the tax policies of george w bush created a dynamic effect of high growth,0,0
half-true,"When each faced a pension funding crisis, Tom Barrett made tough choices and smart cuts while Scott Walker passed $400 million in pension debt to the next generation.",when each faced a pension funding crisis tom barrett made tough choices and smart cuts while scott walker passed  million in pension debt to the next generation,2,1
false,The unemployment rate for young people is down from a 10.6 percent high in 2009 to 2.6 percent today.,the unemployment rate for young people is down from a  percent high in  to  percent today,1,0
false,Public-employee unions spent $30 million in Wisconsin unsuccessfully trying to flip the state Senate to Democratic control.,publicemployee unions spent  million in wisconsin unsuccessfully trying to flip the state senate to democratic control,1,0
barely-true,Says President Barack Obamas homeland security budget had $16 million to fight climate change but didnt have a line item to fight violent extremism.,says president barack obamas homeland security budget had  million to fight climate change but didnt have a line item to fight violent extremism,0,0
false,"There are over 2,000 crimes recorded per 100,000 population in the U.K., compared to 466 violent crimes per 100,000 in the United States.",there are over  crimes recorded per  population in the uk compared to  violent crimes per  in the united states,1,0
barely-true,This president ... could have gotten crippling sanctions against Iran. He did not.,this president  could have gotten crippling sanctions against iran he did not,0,0
mostly-true,Says the majority of Americans support gay marriage.,says the majority of americans support gay marriage,3,1
false,Most Americans are now getting their news from Facebook.,most americans are now getting their news from facebook,1,0
half-true,"After prenatal diagnosis, 90 percent of Down syndrome children in America are aborted.",after prenatal diagnosis  percent of down syndrome children in america are aborted,2,1
mostly-true,Says Obama adviser David Plouffe took large piles of cash from a joint venture partner of a company owned by Irans Revolutionary Guard.,says obama adviser david plouffe took large piles of cash from a joint venture partner of a company owned by irans revolutionary guard,3,1
pants-fire,"Texas House Speaker Joe Straus said, I do not care if Wallace Hall swings from a tree.",texas house speaker joe straus said i do not care if wallace hall swings from a tree,4,0
